;STD Vector;
;Time Elapsed;Average Time
Insert First;2095.3999;0.2095
Extract First;1132.1000;0.1132
Insert Last;26.3000;0.0026
Extract Last;15.3000;0.0015
Insert At;1993.8000;0.1994
Extract At;1060.4000;0.1060
Concat 1;171.7000;0.0172
Concat 2;183.9000;0.0184
Concat 3;163.2000;0.0163
;STD List;
;Time Elapsed;Average Time
Insert First;468.3000;0.0468
Extract First;413.8000;0.0414
Insert Last;63032.0000;6.3032
Extract Last;80688.8984;8.0689
Insert At;124904.7969;12.4905
Extract At;123449.4062;12.3449
Concat 1;126148.8047;12.6149
Concat 2;273.9000;0.0274
Concat 3;329.8000;0.0330
;STD Double Linked List;
;Time Elapsed;Average Time
Insert First;625.7000;0.0626
Extract First;321.2000;0.0321
Insert Last;611.7000;0.0612
Extract Last;468.0000;0.0468
Insert At;702.1000;0.0702
Extract At;338.3000;0.0338
Concat 1;5572.8003;0.5573
Concat 2;882.3000;0.0882
Concat 3;867.5001;0.0868
